epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1457.39,1.10506,1.44544,1.09812,0.7568,0.7779,0.88685,0.42108,2.24358,1.16652,1.88328,0.0072925,0.0072925,0.0072925
59,1482.01,1.12379,1.48408,1.11409,0.63349,0.84783,0.9067,0.45678,2.28957,1.03046,1.90153,0.007245,0.007245,0.007245
60,1508.05,1.08896,1.41393,1.11172,0.63159,0.76058,0.88001,0.40392,2.37128,1.12132,1.95217,0.0071975,0.0071975,0.0071975
61,1532.79,1.10159,1.40876,1.11301,0.72896,0.81261,0.87284,0.4285,2.24924,1.13253,1.89793,0.00715,0.00715,0.00715
62,1557.69,1.14025,1.48031,1.12895,0.72044,0.77174,0.88625,0.43679,2.27454,1.02287,1.91006,0.0071025,0.0071025,0.0071025
63,1568.63,1.08379,1.38285,1.08565,0.68267,0.79938,0.90627,0.45179,2.33604,1.02164,1.95808,0.007055,0.007055,0.007055
64,1575.9,1.11208,1.45182,1.12555,0.73696,0.80287,0.87985,0.4313,2.24097,1.0763,1.8623,0.0070075,0.0070075,0.0070075
65,1582.88,1.07952,1.37689,1.11019,0.65244,0.87231,0.92868,0.45406,2.29219,1.02589,1.90393,0.00696,0.00696,0.00696
66,1590.21,1.11174,1.39935,1.0904,0.63709,0.86914,0.9229,0.44946,2.24756,0.98859,1.89616,0.0069125,0.0069125,0.0069125
67,1597.48,1.07434,1.34046,1.09773,0.67195,0.86099,0.89041,0.40248,2.29214,1.07466,1.88904,0.006865,0.006865,0.006865
68,1604.86,1.08394,1.35113,1.11188,0.7551,0.80003,0.85998,0.40885,2.27092,1.04182,1.91014,0.0068175,0.0068175,0.0068175
69,1611.37,1.10333,1.43524,1.09912,0.6637,0.82609,0.90848,0.44404,2.31645,1.08135,1.93908,0.00677,0.00677,0.00677
70,1619.14,1.08413,1.36762,1.12989,0.72683,0.83204,0.90848,0.42949,2.28077,1.04497,1.90345,0.0067225,0.0067225,0.0067225
71,1626.74,1.07798,1.35112,1.10215,0.74173,0.85,0.90606,0.45475,2.34637,0.9951,1.95245,0.006675,0.006675,0.006675
72,1634.27,1.06789,1.30798,1.09006,0.66133,0.82964,0.88899,0.42766,2.31285,1.09461,1.95943,0.0066275,0.0066275,0.0066275
73,1640.95,1.07884,1.39729,1.09335,0.85846,0.71333,0.90493,0.46572,2.26039,1.016,1.9157,0.00658,0.00658,0.00658
74,1647.9,1.10743,1.38462,1.09953,0.67949,0.77672,0.91127,0.44447,2.29841,1.15723,1.92538,0.0065325,0.0065325,0.0065325
75,1655.1,1.09482,1.35348,1.11192,0.85737,0.7569,0.94301,0.4468,2.28597,0.96624,1.89223,0.006485,0.006485,0.006485
76,1662.63,1.06921,1.28903,1.11143,0.87533,0.71988,0.9291,0.46861,2.24416,0.91756,1.90764,0.0064375,0.0064375,0.0064375
77,1669.69,1.10586,1.37685,1.09757,0.72933,0.84239,0.88731,0.42972,2.28052,0.99399,1.88863,0.00639,0.00639,0.00639
78,1676.95,1.0962,1.39378,1.10078,0.73758,0.70997,0.88657,0.42901,2.3175,1.11058,1.91132,0.0063425,0.0063425,0.0063425
79,1684.73,1.0851,1.3088,1.09475,0.65575,0.8913,0.91418,0.44045,2.30973,1.04868,1.90179,0.006295,0.006295,0.006295
80,1691.83,1.07202,1.31738,1.0916,0.76588,0.81611,0.93732,0.45214,2.29195,1.01169,1.90459,0.0062475,0.0062475,0.0062475
81,1699.25,1.09754,1.34321,1.12042,0.64006,0.93309,0.8926,0.46197,2.20404,0.95723,1.85903,0.0062,0.0062,0.0062
82,1706.55,1.07462,1.33918,1.09481,0.68279,0.86957,0.93011,0.46793,2.24182,1.03803,1.84845,0.0061525,0.0061525,0.0061525
83,1713.99,1.10383,1.42217,1.1398,0.69089,0.85774,0.95174,0.46382,2.27682,1.03565,1.85671,0.006105,0.006105,0.006105
84,1721.14,1.08837,1.37549,1.11247,0.69914,0.81485,0.94087,0.46717,2.26229,1.07067,1.83829,0.0060575,0.0060575,0.0060575
85,1727.83,1.09688,1.32739,1.09195,0.77866,0.82871,0.92687,0.46759,2.2909,1.01317,1.90557,0.00601,0.00601,0.00601
86,1734.98,1.07835,1.35666,1.10614,0.72435,0.89928,0.93961,0.46585,2.25464,0.97632,1.9074,0.0059625,0.0059625,0.0059625
87,1741.72,1.10194,1.31782,1.0795,0.66339,0.81987,0.89109,0.45412,2.25394,1.10227,1.8631,0.005915,0.005915,0.005915
88,1748.94,1.06872,1.31893,1.09448,0.70101,0.87743,0.92894,0.45949,2.27214,1.01986,1.87268,0.0058675,0.0058675,0.0058675
89,1756.57,1.05208,1.33277,1.10944,0.83342,0.80606,0.94771,0.48211,2.2245,1.01232,1.81353,0.00582,0.00582,0.00582
90,1763.96,1.07249,1.31432,1.09101,0.74804,0.8995,0.93384,0.46268,2.22302,1.01035,1.87398,0.0057725,0.0057725,0.0057725
91,1770.93,1.09024,1.31972,1.09275,0.76656,0.75543,0.9168,0.44008,2.28972,1.07621,1.88346,0.005725,0.005725,0.005725
92,1778.36,1.06539,1.27338,1.09138,0.71543,0.85692,0.92061,0.46356,2.30118,1.00007,1.9113,0.0056775,0.0056775,0.0056775
93,1785.71,1.0572,1.28529,1.08017,0.69037,0.84381,0.88588,0.45146,2.25526,0.99593,1.87295,0.00563,0.00563,0.00563
94,1793.75,1.05071,1.2656,1.09893,0.70105,0.90217,0.94062,0.47699,2.26965,0.93725,1.88102,0.0055825,0.0055825,0.0055825
95,1801.44,1.06754,1.28605,1.10223,0.69849,0.89008,0.93011,0.48179,2.20314,0.90051,1.797,0.005535,0.005535,0.005535
96,1808.72,1.08256,1.35527,1.08877,0.7924,0.8191,0.90482,0.4481,2.26304,0.98356,1.87684,0.0054875,0.0054875,0.0054875
97,1816.32,1.06135,1.29692,1.08752,0.67057,0.88922,0.91569,0.43325,2.27797,0.99573,1.9008,0.00544,0.00544,0.00544
98,1824.44,1.05099,1.25011,1.11061,0.74247,0.90769,0.95174,0.45918,2.29091,0.95683,1.89084,0.0053925,0.0053925,0.0053925
99,1831.6,1.05333,1.30024,1.08166,0.69588,0.86957,0.93011,0.47827,2.20285,0.96666,1.83531,0.005345,0.005345,0.005345
100,1839.08,1.04421,1.2104,1.08092,0.68861,0.77826,0.92559,0.45375,2.24268,1.04416,1.8978,0.0052975,0.0052975,0.0052975
